Product_Name,Brand,Category,Usage_Frequency,Price_USD,Rating,Number_of_Reviews,Product_Size,Skin_Type,Gender_Target,Packaging_Type,Main_Ingredient,Cruelty_Free,Country_of_Origin
Magic Highlighter,IT Cosmetics,Lip Liner,Occasional,141.34,4.9,9617,200,Oily,Female,Jar,Aloe Vera,TRUE,Japan
Ultra Eye Shadow,NARS,Foundation,Monthly,136.12,4.6,5489,100,Normal,Female,Jar,Shea Butter,FALSE,UK
Magic Primer,Clinique,Blush,Occasional,48.08,2.6,8445,200,Combination,Male,Stick,Shea Butter,FALSE,Italy
Divine Lip Gloss,Rare Beauty,Face Oil,Occasional,149.9,4.3,6185,200,Normal,Female,Compact,Hyaluronic Acid,FALSE,UK
Super Lip Liner,Becca,Exfoliator,Monthly,89.22,2.5,8595,30,Dry,Female,Compact,Vitamin C,FALSE,South Korea
Divine Cleanser,KVD Beauty,BB Cream,Monthly,41.47,4.3,108,30,Sensitive,Female,Tube,Shea Butter,FALSE,South Korea
Super Face Mask,Shiseido,Setting Spray,Daily,43.51,3.5,3246,50,Dry,Male,Compact,Glycerin,TRUE,USA
Super Contour,NARS,Highlighter,Daily,70.22,1.4,6921,100,Dry,Female,Stick,Vitamin C,TRUE,Germany
Ultra Serum,Patrick Ta,Moisturizer,Weekly,108.06,3.5,1467,150,Oily,Male,Spray,Retinol,TRUE,Germany
Super Primer,Danessa Myricks,Primer,Weekly,148.83,2.7,7034,50,Normal,Female,Spray,Aloe Vera,FALSE,Australia
Divine Setting Spray,Natasha Denona,BB Cream,Weekly,22.51,3.6,8061,100,Normal,Male,Bottle,Hyaluronic Acid,TRUE,France
Divine Mascara,Sisley,Concealer,Occasional,107.14,2.8,5333,30,Oily,Unisex,Stick,Shea Butter,FALSE,UK
Divine Lip Gloss,Laura Mercier,Cleanser,Occasional,93.49,1.7,1959,250,Sensitive,Female,Tube,Retinol,TRUE,Australia
Super Blush,Sisley,Face Oil,Occasional,57.93,3.2,7353,30,Combination,Unisex,Spray,Retinol,FALSE,Italy
Magic Serum,Huda Beauty,Setting Spray,Occasional,129.56,3.7,7580,150,Normal,Male,Jar,Vitamin C,FALSE,France
Ultra Lip Gloss,Charlotte Tilbury,Contour,Weekly,39.63,3.4,4162,50,Sensitive,Female,Compact,Salicylic Acid,TRUE,USA
Divine Face Oil,Urban Decay,Exfoliator,Occasional,71.49,2.8,770,50,Combination,Unisex,Tube,Shea Butter,TRUE,Japan
Ultra Setting Spray,IT Cosmetics,Setting Spray,Daily,62.75,3.1,2901,150,Sensitive,Female,Compact,Retinol,TRUE,France
Ultra Lip Liner,Bobby Brown,Face Oil,Monthly,88.28,3.1,159,50,Sensitive,Unisex,Stick,Vitamin C,FALSE,Japan
Magic Cleanser,NARS,Face Oil,Daily,94.71,3.9,5860,200,Combination,Female,Compact,Vitamin C,FALSE,Germany
Magic Serum,Morphe,Powder,Occasional,63.46,4.2,2493,150,Oily,Unisex,Jar,Retinol,TRUE,South Korea
Ultra BB Cream,KVD Beauty,Makeup Remover,Weekly,117.39,3.6,709,250,Combination,Male,Jar,Glycerin,FALSE,USA
Magic Lipstick,Tatcha,Eye Shadow,Weekly,53.38,1.7,2607,50,Combination,Unisex,Jar,Shea Butter,TRUE,Australia
Ultra Exfoliator,Bite Beauty,Moisturizer,Daily,71.22,1.5,6782,150,Dry,Male,Stick,Hyaluronic Acid,TRUE,South Korea
Divine Serum,Charlotte Tilbury,Moisturizer,Monthly,26.05,4.4,8170,250,Combination,Male,Tube,Retinol,TRUE,Italy
Perfect Concealer,Kiehls,Bronzer,Weekly,136.41,1.3,7205,200,Oily,Female,Bottle,Aloe Vera,FALSE,South Korea
Super Powder,NARS,Contour,Daily,97.91,2.2,7774,200,Oily,Male,Stick,Aloe Vera,FALSE,UK
Divine Mascara,Bourjois,BB Cream,Occasional,148.59,2,3949,250,Normal,Male,Bottle,Retinol,TRUE,Italy
Ultra Face Oil,Tarte,Foundation,Daily,22.49,3.5,9078,30,Sensitive,Male,Compact,Retinol,FALSE,Italy
Perfect Lipstick,Bourjois,Concealer,Weekly,83.7,1.5,7243,30,Oily,Unisex,Tube,Salicylic Acid,TRUE,Australia
Divine Primer,Bite Beauty,Eyeliner,Daily,145.44,2.1,2793,150,Sensitive,Unisex,Jar,Glycerin,TRUE,Japan
Super Contour,Sisley,Concealer,Occasional,128.12,2.9,2377,250,Combination,Unisex,Spray,Hyaluronic Acid,FALSE,Japan
Magic Eye Shadow,Fenty Beauty,Serum,Monthly,122.23,2.4,5600,30,Combination,Female,Bottle,Shea Butter,FALSE,South Korea
Divine Highlighter,Farsali,Moisturizer,Weekly,119.67,4.4,9166,150,Sensitive,Male,Tube,Retinol,TRUE,Italy
Ultra Powder,Clinique,Foundation,Occasional,92.43,1.7,2230,250,Combination,Male,Jar,Vitamin C,FALSE,Australia
Ultra Powder,IT Cosmetics,Exfoliator,Monthly,69.14,4.6,6584,200,Combination,Male,Spray,Hyaluronic Acid,TRUE,USA
Ultra Powder,Bite Beauty,Lip Gloss,Monthly,29.6,3.4,8832,50,Sensitive,Female,Jar,Glycerin,FALSE,Japan
Divine Primer,ColourPop,CC Cream,Daily,67.61,2.4,425,250,Sensitive,Male,Spray,Retinol,TRUE,USA
Perfect Cleanser,Juvias Place,Moisturizer,Daily,86.18,4.9,3436,150,Normal,Female,Spray,Glycerin,FALSE,Australia
Super Makeup Remover,Milk Makeup,Contour,Daily,55.52,1.2,5117,100,Dry,Male,Tube,Glycerin,TRUE,USA
Perfect Setting Spray,Pat McGrath Labs,Highlighter,Weekly,142.14,3.3,4548,150,Normal,Female,Compact,Shea Butter,FALSE,Germany
Magic Eyeliner,Shiseido,CC Cream,Weekly,149.16,4.4,6158,50,Sensitive,Female,Jar,Shea Butter,TRUE,USA
Divine Cleanser,Sisley,Cleanser,Occasional,52.89,3,9595,150,Sensitive,Female,Stick,Aloe Vera,FALSE,Australia
Ultra Powder,Patrick Ta,Cleanser,Weekly,94.96,1,9200,30,Combination,Unisex,Stick,Retinol,TRUE,Australia
Divine Lip Gloss,Farsali,Face Oil,Monthly,143.49,2.6,8066,100,Sensitive,Male,Stick,Vitamin C,TRUE,UK
Perfect Lip Liner,Huda Beauty,Lip Gloss,Weekly,62.28,3.7,7809,150,Dry,Male,Jar,Glycerin,FALSE,UK
Perfect Eye Shadow,Natasha Denona,CC Cream,Daily,149.85,1.8,7547,200,Combination,Female,Bottle,Shea Butter,TRUE,USA
Super Lip Gloss,Patrick Ta,Bronzer,Weekly,83.63,4.8,3968,30,Sensitive,Male,Spray,Aloe Vera,FALSE,UK
Divine Highlighter,Bourjois,Mascara,Occasional,51.65,2.1,3815,250,Dry,Female,Bottle,Shea Butter,TRUE,Australia
Magic Makeup Remover,Too Faced,Makeup Remover,Monthly,65.46,2.5,1441,200,Oily,Male,Jar,Aloe Vera,FALSE,USA
Perfect Cleanser,Ilia Beauty,Moisturizer,Occasional,47.92,3.9,8471,100,Normal,Female,Compact,Aloe Vera,TRUE,Italy
Ultra Highlighter,Shiseido,Primer,Daily,71.25,4,5749,150,Oily,Female,Bottle,Shea Butter,FALSE,France
Ultra Lipstick,NARS,Powder,Monthly,73.09,4.8,1574,30,Dry,Unisex,Spray,Vitamin C,TRUE,Germany
Super Setting Spray,Farsali,Exfoliator,Weekly,45.01,4.3,7285,150,Dry,Female,Jar,Aloe Vera,FALSE,UK
Magic Powder,Kylie Cosmetics,Mascara,Daily,127.22,3.1,9065,200,Combination,Female,Spray,Hyaluronic Acid,FALSE,Japan
Perfect Setting Spray,Sisley,Face Mask,Occasional,62.17,4.9,4328,50,Dry,Unisex,Jar,Glycerin,FALSE,Germany
Perfect Moisturizer,Rare Beauty,Eye Shadow,Daily,46.09,2.4,7298,250,Dry,Unisex,Tube,Retinol,FALSE,USA
Super Cleanser,Becca,Powder,Daily,132.84,2.1,4276,50,Dry,Unisex,Bottle,Hyaluronic Acid,TRUE,France
Perfect Contour,Farsali,Cleanser,Occasional,70.92,2,5971,200,Dry,Unisex,Tube,Glycerin,TRUE,France
Divine Setting Spray,Bite Beauty,Serum,Daily,46.21,4.5,8829,50,Dry,Female,Spray,Hyaluronic Acid,TRUE,Germany
Super Setting Spray,Ilia Beauty,CC Cream,Occasional,73.99,2.2,7777,150,Normal,Unisex,Jar,Shea Butter,TRUE,Japan
Magic Lip Gloss,Kylie Cosmetics,Blush,Occasional,47.86,1.4,7664,50,Normal,Female,Bottle,Vitamin C,TRUE,South Korea
Perfect Highlighter,Milk Makeup,Primer,Daily,103.84,3.3,1206,200,Oily,Female,Stick,Hyaluronic Acid,FALSE,USA
Perfect Concealer,Juvias Place,Moisturizer,Monthly,40.17,2.1,6895,150,Combination,Female,Tube,Salicylic Acid,TRUE,Australia
Magic Lip Liner,RMS Beauty,Contour,Monthly,43.28,3.4,1567,30,Normal,Female,Bottle,Vitamin C,TRUE,Australia
Magic Powder,Becca,Concealer,Occasional,108.74,4,5921,30,Sensitive,Female,Stick,Aloe Vera,FALSE,UK
Ultra Lip Gloss,Kiehls,Eye Shadow,Weekly,78.36,1.9,3534,30,Normal,Male,Tube,Aloe Vera,FALSE,USA
Ultra Exfoliator,Laura Mercier,Makeup Remover,Daily,46.74,1.2,6838,200,Sensitive,Female,Jar,Shea Butter,TRUE,USA
Super BB Cream,RMS Beauty,Moisturizer,Weekly,97.76,1.9,7701,150,Combination,Male,Spray,Glycerin,TRUE,Germany
Super Eyeliner,Charlotte Tilbury,Concealer,Weekly,137.54,1.9,2124,50,Combination,Male,Bottle,Glycerin,TRUE,Australia
Ultra Lip Liner,Morphe,Primer,Occasional,92.26,1.3,9864,200,Dry,Female,Bottle,Hyaluronic Acid,TRUE,USA
Divine Concealer,Tarte,Lipstick,Monthly,79.18,1,7201,150,Combination,Unisex,Compact,Salicylic Acid,FALSE,Italy
Perfect Mascara,ColourPop,Blush,Weekly,83.29,2.3,4336,150,Dry,Unisex,Compact,Salicylic Acid,FALSE,Japan
Ultra Primer,Becca,Foundation,Monthly,64.4,4,6745,50,Dry,Male,Bottle,Hyaluronic Acid,TRUE,USA
Perfect Exfoliator,Elf,Face Oil,Monthly,133.83,2.5,2589,100,Dry,Male,Jar,Shea Butter,FALSE,USA
Ultra Eyeliner,Bobby Brown,Eyeliner,Monthly,11.24,3.1,8830,50,Sensitive,Female,Spray,Glycerin,FALSE,UK
Super Eye Shadow,Patrick Ta,Mascara,Daily,23.43,4.8,5322,250,Dry,Unisex,Spray,Salicylic Acid,FALSE,UK
Magic Mascara,Urban Decay,BB Cream,Weekly,57.18,2.1,1421,100,Oily,Unisex,Stick,Glycerin,TRUE,UK
Divine Primer,Kiehls,Serum,Weekly,102.88,4.6,9311,50,Oily,Male,Stick,Hyaluronic Acid,FALSE,USA
Perfect Concealer,Becca,Powder,Monthly,142.44,4.2,451,100,Combination,Male,Spray,Hyaluronic Acid,FALSE,USA
Perfect Lip Liner,Laura Mercier,Concealer,Monthly,39.89,4.6,3914,200,Normal,Male,Stick,Aloe Vera,FALSE,South Korea
Super Exfoliator,Drunk Elephant,Lip Liner,Monthly,23.98,1.5,8320,150,Combination,Female,Compact,Salicylic Acid,FALSE,Japan
Super Eyeliner,KVD Beauty,Face Mask,Occasional,112.59,4.7,7668,200,Oily,Female,Bottle,Vitamin C,FALSE,Italy
Super Makeup Remover,Anastasia Beverly Hills,Exfoliator,Daily,148.49,1.1,3368,100,Dry,Unisex,Spray,Retinol,FALSE,France
Perfect Eye Shadow,Glossier,BB Cream,Monthly,33.77,4.3,442,30,Combination,Unisex,Jar,Shea Butter,TRUE,South Korea
Ultra Cleanser,Ilia Beauty,Face Oil,Daily,27.29,3.5,6783,30,Oily,Unisex,Tube,Hyaluronic Acid,FALSE,France
Perfect Lip Liner,Charlotte Tilbury,Face Oil,Monthly,147.41,4.5,2448,30,Oily,Female,Stick,Retinol,TRUE,France
Magic Setting Spray,Huda Beauty,Bronzer,Occasional,45.24,1.6,9014,150,Sensitive,Female,Tube,Vitamin C,FALSE,Australia
Perfect Mascara,Perricone MD,Contour,Daily,13.42,1.3,6389,50,Sensitive,Female,Jar,Glycerin,TRUE,Australia
Magic Serum,Tatcha,BB Cream,Occasional,44.25,3.6,7779,200,Sensitive,Male,Jar,Shea Butter,FALSE,Japan
Magic Highlighter,Too Faced,Face Oil,Weekly,100.75,2,270,250,Sensitive,Female,Bottle,Salicylic Acid,TRUE,South Korea
Divine Moisturizer,Elf,Highlighter,Weekly,40.73,2.9,4891,200,Dry,Female,Compact,Shea Butter,TRUE,Italy
Magic Contour,Juvias Place,Highlighter,Daily,82.79,2.2,2172,30,Normal,Female,Bottle,Salicylic Acid,FALSE,Australia
Super Concealer,Milk Makeup,Concealer,Occasional,129.35,4.8,2964,100,Combination,Unisex,Tube,Shea Butter,TRUE,UK
Magic Lipstick,RMS Beauty,Mascara,Weekly,76.05,1.4,9536,200,Normal,Unisex,Compact,Hyaluronic Acid,FALSE,Australia
Divine CC Cream,Bobby Brown,Cleanser,Daily,123.79,2,8183,250,Sensitive,Unisex,Stick,Salicylic Acid,TRUE,Italy
Ultra Lipstick,Bobby Brown,Moisturizer,Daily,113.13,3.6,138,200,Sensitive,Female,Jar,Retinol,TRUE,Germany
Perfect Setting Spray,Pat McGrath Labs,Highlighter,Weekly,27.41,1.6,6213,100,Oily,Male,Jar,Salicylic Acid,FALSE,USA
Ultra Eyeliner,Huda Beauty,Eyeliner,Weekly,89.35,2.1,7837,100,Oily,Female,Bottle,Vitamin C,FALSE,Australia
Magic Face Oil,Laura Mercier,Face Oil,Daily,108.45,4.9,7641,200,Sensitive,Female,Spray,Salicylic Acid,FALSE,Australia
Ultra CC Cream,Bite Beauty,Makeup Remover,Daily,55.75,3.6,6536,100,Dry,Male,Stick,Salicylic Acid,FALSE,Italy
Super Face Oil,KVD Beauty,Bronzer,Weekly,148.58,2.8,93,250,Normal,Unisex,Jar,Glycerin,FALSE,France
